@relation yeast_2vs4

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm numeric
@attribute Mit numeric
@attribute Erl numeric
@attribute Pox numeric
@attribute Vac numeric
@attribute Nuc numeric
@attribute Class {1,0}

@data
0.384615,0.347826,0.356164,0.16,0,0,0.6,0.3875,0
0.410256,0.362319,0.410959,0.25,0,0,0.666667,0.275,0
0.384615,0.347826,0.260274,0.18,0,0,0.6,0.3875,0
0.423077,0.362319,0.328767,0.18,0,0,0.616667,0.275,0
0.461538,0.550725,0.342466,0.1,0,0,0.666667,0.275,0
0.25641,0.536232,0.315068,0.1,0,0,0.633333,0.3125,0
0.487179,0.405797,0.315068,0.2,0,0,0.633333,0.35,0
0.551282,0.318841,0.30137,0.29,0,0,0.616667,0.3375,0
0.333333,0.289855,0.30137,0.14,1,0,0.666667,0.375,0
0.358974,0.405797,0.452055,0.15,0,0,0.416667,0.275,0
0.346154,0.362319,0.356164,0.23,0,0,0.633333,0.275,0
0.371795,0.304348,0.287671,0.19,0,0,0.75,0.275,0
0.307692,0.347826,0.356164,0.19,0,0,0.716667,0.275,0
0.115385,0.217391,0.383562,0.15,0,0,0.733333,0.275,0
0.333333,0.376812,0.356164,0.15,0,0,0.65,0.3375,0
0.461538,0.608696,0.369863,0.16,0,0,0.533333,0.3375,0
0.346154,0.594203,0.369863,0.25,0,0,0.55,0.275,0
0.435897,0.550725,0.287671,0.14,0,0,0.633333,0.275,0
0.294872,0.463768,0.410959,0.17,0,0,0.6,0.275,0
0.423077,0.362319,0.39726,0.2,0,0,0.616667,0.275,0
0.474359,0.391304,0.315068,0.17,0,0,0.633333,0.325,0
0.74359,0.521739,0.246575,0.17,0,0,0.666667,0.275,0
0.333333,0.347826,0.342466,0.17,0,0,0.683333,0.275,0
0.115385,0.434783,0.383562,0.19,0,0,0.733333,0.275,0
0.410256,0.434783,0.39726,0.28,0,0,0.683333,0.3375,0
0.371795,0.507246,0.30137,0.32,0,0,0.616667,0.275,0
0.512821,0.362319,0.287671,0.46,0,0,0.6,0.275,0
0.435897,0.347826,0.356164,0.18,0,0,0.483333,0.275,0
0.333333,0.086957,0.315068,0.33,0,0,0.666667,0.325,0
0.371795,0.42029,0.39726,0.11,0,0,0.333333,0.275,0
0.205128,0.376812,0.356164,0.19,0,0,0.583333,0.275,0
0.346154,0.318841,0.315068,0.24,0,0,0.583333,0.3875,0
0.307692,0.362319,0.315068,0.21,0,0,0.6,0.425,0
0.538462,0.492754,0.328767,0.26,0,0,0.65,0.275,0
0.512821,0.376812,0.328767,0.53,0,0,0.666667,0.325,0
0.269231,0.565217,0.315068,0.16,0,0,0.633333,0.275,0
0.576923,0.333333,0.328767,0.35,0,0,0.666667,0.275,0
0.333333,0.449275,0.315068,0.12,0,0,0.783333,0.275,0
0.24359,0.275362,0.438356,0.25,0,0,0.516667,0.275,0
0.25641,0.26087,0.438356,0.25,0,0,0.533333,0.275,0
0.448718,0.492754,0.39726,0.14,0,0,0.616667,0.3125,0
0.333333,0.42029,0.410959,0.29,0,0,0.516667,0.1375,0
0.538462,0.246377,0.410959,0.36,0,0,0.516667,0.2625,0
0.538462,0.246377,0.410959,0.36,0,0,0.516667,0.2625,0
0.307692,0.173913,0.369863,0.37,0,0,0.416667,0.2,0
0.307692,0.173913,0.369863,0.37,0,0,0.416667,0.2,0
0.410256,0.26087,0.424658,0.19,0,0,0.566667,0.275,0
0.205128,0.173913,0.287671,0.42,0,0,0.566667,0.5375,0
0.346154,0.202899,0.575342,0.18,0,0,0.283333,0.3125,0
0.346154,0.202899,0.575342,0.18,0,0,0.283333,0.3125,0
0.487179,0.318841,0.342466,0.3,0,0,0.4,0.1375,0
0.487179,0.318841,0.342466,0.3,0,0,0.4,0.1375,0
0.512821,0.434783,0.287671,0.12,0,0,0.683333,0.3875,0
0.512821,0.434783,0.287671,0.12,0,0,0.683333,0.3875,0
0.538462,0.391304,0.39726,0.19,0,0,0.666667,0.3875,0
0.538462,0.391304,0.39726,0.19,0,0,0.666667,0.3875,0
0.320513,0.507246,0.342466,0.18,0,0,0.616667,0.1375,0
0.217949,0.507246,0.342466,0.18,0,0,0.533333,0.2,0
0.230769,0.333333,0.506849,0.48,0,0,0.383333,0.3375,0
0.679487,0.231884,0.493151,0.38,0,0,0.45,0.175,0
0.679487,0.231884,0.493151,0.38,0,0,0.45,0.175,0
0.320513,0.217391,0.506849,0.45,0,0,0.666667,0.1375,0
0.5,0.347826,0.383562,0.27,0,0,0.583333,0.1375,0
0.564103,0.623188,0.246575,0.26,0,0,0.5,0.275,0
0.564103,0.623188,0.246575,0.26,0,0,0.5,0.275,0
0.307692,0.173913,0.547945,0.12,0,0,0.533333,0.2875,0
0.307692,0.173913,0.547945,0.12,0,0,0.5,0.2875,0
0.5,0.333333,0.315068,0.26,0,0,0.65,0.275,0
0.24359,0.318841,0.356164,0.22,0,0,0.583333,0.1375,0
0.269231,0.347826,0.465753,0.29,0,0,0.516667,0.275,0
0.269231,0.347826,0.465753,0.29,0,0,0.516667,0.275,0
0.192308,0.188406,0.520548,0.4,0,0,0.316667,0.2,0
0.307692,0.014493,0.712329,0.79,0,0,0.15,0,0
0.205128,0,1,0.8,0,0,0,0.0125,0
0.205128,0,1,0.8,0,0,0,0.0125,0
0.474359,0.202899,0.273973,0.41,0,0,0.616667,0.275,0
0.474359,0.202899,0.273973,0.35,0,0,0.65,0.275,0
0.448718,0.333333,0.383562,0.48,0,0,0.566667,0.275,0
0.205128,0.26087,0.39726,0.2,0,0,0.6,0.5125,0
0.371795,0.362319,0.424658,0.16,0,0,0.533333,0.275,0
0.371795,0.492754,0.287671,0.1,0,0,0.7,0.275,0
0.641026,0.478261,0.383562,0.23,0,0,1,0.275,0
0.692308,0.565217,0.273973,0.2,0,0,0.983333,0.275,0
0.75641,0.884058,0.39726,0.21,0,0,0.933333,0.275,0
0.346154,0.173913,0.246575,0.22,0,0,0.466667,0.4625,0
0.423077,0.318841,0.465753,0.22,0,0,0.533333,0.275,0
0.423077,0.318841,0.465753,0.22,0,0,0.533333,0.275,0
0.166667,0.333333,0.369863,0.21,0,0,0.45,0.2375,0
0.166667,0.333333,0.369863,0.21,0,0,0.45,0.2375,0
0.371795,0.289855,0.342466,0.33,0,0,0.633333,0.325,0
0.346154,0.26087,0.369863,0.22,0,0,0.583333,0.3125,0
0.346154,0.26087,0.369863,0.22,0,0,0.583333,0.3125,0
0.294872,0.42029,0.506849,0.13,0,0,0.6,0.275,0
0.346154,0.478261,0.438356,0.41,0,0,0.666667,0.2625,0
0.346154,0.478261,0.438356,0.41,0,0,0.666667,0.2625,0
0.24359,0.42029,0.342466,0.44,0,0,0.683333,0.1375,0
0.24359,0.42029,0.342466,0.44,0,0,0.683333,0.1375,0
0.410256,0.449275,0.424658,0.17,0,0,0.566667,0.35,0
0.397436,0.42029,0.479452,0.23,0,0,0.366667,0.1375,0
0.435897,0.521739,0.452055,0.36,0,0,0.616667,0.275,0
0.435897,0.521739,0.452055,0.36,0,0,0.616667,0.275,0
0.230769,0.130435,0.479452,0.43,0,0,0.516667,0.4875,0
0.230769,0.130435,0.479452,0.43,0,0,0.516667,0.4875,0
0.384615,0.275362,0.424658,0.23,0,0,0.566667,0.3375,0
0.230769,0.231884,0.328767,0.38,0,0,0.516667,0.275,0
0.410256,0.275362,0.315068,0.28,0,0,0.583333,0.3375,0
0.192308,0.057971,0.383562,0.28,0,0,0.633333,0.6125,0
0.512821,0.478261,0.356164,0.14,0,0,0.583333,0.275,0
0.397436,0.391304,0.287671,0.23,0,0,0.666667,0.85,0
0.474359,0.304348,0.342466,0.14,0,0,0.633333,0.275,0
0.346154,0.304348,0.328767,0.16,0,0,0.716667,0.275,0
0.525641,0.434783,0.30137,0.18,0,0,0.666667,0.475,0
0.384615,0.246377,0.39726,0.09,0,0,0.55,0.275,0
0.24359,0.275362,0.356164,0.12,0,0,0.7,0.275,0
0.461538,0.492754,0.342466,0.13,0,0,0.666667,0.3125,0
0.346154,0.333333,0.424658,0.17,0,0,0.7,0.275,0
0.192308,0.362319,0.342466,0.19,0,0,0.666667,0.325,0
0.5,0.507246,0.260274,0.14,0,0,0.633333,0.275,0
0.320513,0.724638,0.315068,0.21,0,0,0.683333,0.3375,0
0.282051,0.405797,0.273973,0.09,0,0,0.6,0.275,0
0.320513,0.434783,0.356164,0.3,0,0,0.666667,0.275,0
0.448718,0.434783,0.39726,0.15,0,0,0.683333,0.3875,0
0.346154,0.246377,0.328767,0.2,0,0,0.633333,0.275,0
0.282051,0.275362,0.39726,0.17,0,0,0.716667,0.275,0
0.512821,0.492754,0.410959,0.18,0,0,0.633333,0.275,0
0.371795,0.434783,0.315068,0.24,0,0,0.683333,0.475,0
0.25641,0.130435,0.493151,0.2,0,0,0.5,0.5875,0
0.435897,0.405797,0.273973,0.21,0,0,0.666667,0.275,0
0.294872,0.318841,0.547945,0.7,0,0,0.483333,0.3125,0
0.474359,0.492754,0.410959,0.15,0,0,0.683333,0.3125,0
0.230769,0.492754,0.342466,0.13,0,0,0.483333,1,0
0.448718,0.42029,0.328767,0.26,0,0,0.65,0.275,0
0.525641,0.623188,0.39726,0.36,0,0,0.55,0.3375,0
0.25641,0.347826,0.328767,0.29,0,0,0.683333,0.275,0
0.307692,0.376812,0.273973,0.18,0,0,0.566667,0.275,0
0.423077,0.376812,0.424658,0.18,0,0,0.35,0.1375,0
0.423077,0.376812,0.424658,0.18,0,0,0.35,0.1375,0
0.397436,0.347826,0.328767,0.19,0,0,0.666667,0.3125,0
0.538462,0.42029,0.465753,0.21,0,0,0.7,0.675,0
0.397436,0.449275,0.328767,0.22,0,0,0.55,0.4625,0
0.551282,0.173913,0.30137,0.24,0,0,0.633333,0.525,0
0.474359,0.449275,0.260274,0.17,0,0,0.6,0.9125,0
0.423077,0.507246,0.383562,0.16,0,0,0.666667,0.4875,0
0.435897,0.391304,0.328767,0.18,0,0,0.65,0.3375,0
0.410256,0.391304,0.328767,0.19,0,0,0.633333,0.3375,0
0.410256,0.391304,0.328767,0.26,0,0,0.633333,0.3375,0
0.435897,0.391304,0.328767,0.18,0,0,0.633333,0.3375,0
0.525641,0.362319,0.328767,0.1,0,0,0.583333,0.3875,0
0.525641,0.362319,0.328767,0.1,0,0,0.583333,0.3875,0
0.217949,0.231884,0.493151,0.25,0,0,0.283333,0.275,0
0.141026,0.347826,0.383562,0.19,0,0,0.666667,0.5,0
0.320513,0.275362,0.356164,0.19,0,0,0.583333,0.3375,0
0.179487,0.231884,0.30137,0.22,0,0,0.7,0.275,0
0.25641,0.26087,0.520548,0.16,0,0,0.533333,0.275,0
0.410256,0.550725,0.383562,0.21,0,0,0.65,0.275,0
0.282051,0.202899,0.452055,0.22,0,0,0.716667,0.9875,0
0.282051,0.405797,0.383562,0.13,0,0,0.7,0.275,0
0.051282,0.115942,0.260274,0,0,0,0.5,0.3875,0
0.24359,0.188406,0.383562,0.44,0,0,0.583333,0.325,0
0.564103,0.623188,0.30137,0.2,0,0,0.65,0.3125,0
0.371795,0.333333,0.260274,0.37,0,0,0.55,0.45,0
0.397436,0.405797,0.260274,0.22,0,0,0.666667,0.3125,0
0.551282,0.304348,0.273973,0.16,0,0,0.65,0.275,0
0.397436,0.347826,0.342466,0.18,0,0,0.65,0.275,0
0.512821,0.434783,0.273973,0.21,0,0,0.566667,0.275,0
0.25641,0.376812,0.30137,0.2,0,0,0.666667,0.325,0
0.384615,0.391304,0.342466,0.24,0,0,0.616667,0.275,0
0.512821,0.391304,0.30137,0.42,0,0,0.65,0.275,0
0.487179,0.202899,0.315068,0.43,0,0,0.666667,0.275,0
0.538462,0.449275,0.315068,0.44,0,0,0.666667,0.275,0
0.564103,0.318841,0.287671,0.11,0,0,0.633333,0.275,0
0.564103,0.318841,0.287671,0.11,0,0,0.633333,0.275,0
0.423077,0.347826,0.356164,0.34,0,0,0.65,0.55,0
0.448718,0.391304,0.383562,0.33,0,0,0.7,0.5,0
0.294872,0.42029,0.438356,0.17,0,0,0.633333,0.275,0
0.448718,0.492754,0.383562,0.4,0,0,0.666667,0.275,0
0.153846,0.144928,0.410959,0.15,0,0,0.616667,0.275,0
0.24359,0.304348,0.315068,0.19,0,0,0.516667,0.275,0
0.179487,0.217391,0.479452,0.26,0,0,0.7,0.275,0
0.24359,0.304348,0.315068,0.19,0,0,0.516667,0.275,0
0.358974,0.507246,0.424658,0.19,0,0,0.516667,0.8,0
0.166667,0.15942,0.342466,0.18,0,0,0.583333,0.425,0
0.115385,0.086957,0.315068,0.14,0,0,0.616667,0.35,0
0.282051,0.362319,0.410959,0.25,0,0,0.733333,0.475,0
0.320513,0.478261,0.328767,0.16,0,0,0.75,0.275,0
0.320513,0.492754,0.328767,0.16,0,0,0.783333,0.275,0
0.269231,0.507246,0.356164,0.15,0,0,0.6,0.275,0
0.5,0.492754,0.328767,0.13,0,0,0.65,0.275,0
0.461538,0.695652,0.328767,0.12,0,0,0.633333,0.275,0
0.320513,0.405797,0.30137,0.27,0,0,0.65,0.275,0
0.076923,0.072464,0.356164,0.17,0,0,0.533333,0.275,0
0.384615,0.362319,0.369863,0.18,0,0,0.366667,0.275,0
0.294872,0.231884,0.369863,0.17,0,0,0.633333,0.275,0
0.294872,0.347826,0.657534,0.21,0,0,0.583333,0.275,0
0.25641,0.347826,0.657534,0.17,0,0,0.633333,0.275,0
0.564103,0.478261,0.356164,0.27,0,0,0.6,0.275,0
0.269231,0.333333,0.315068,0.13,0,0,0.65,0.4875,0
0.551282,0.565217,0.369863,0.22,0,0,0.683333,0.3375,0
0.179487,0.362319,0.356164,0.12,0,0,0.616667,0.3375,0
0.487179,0.217391,0.328767,0.25,0,0,0.683333,0.3125,0
0.333333,0.797101,0.328767,0.25,0,0,0.766667,0.275,0
0.371795,0.333333,0.328767,0.24,0,0,0.6,0.275,0
0.512821,0.623188,0.232877,0.26,0,0,0.616667,0.275,0
0.769231,0.507246,0.356164,0.19,0,0,0.566667,0.4375,0
0.423077,0.42029,0.452055,0.2,0,0,0.65,0.275,0
0.512821,0.362319,0.410959,0.17,0,0,0.65,0.275,0
0.435897,0.304348,0.356164,0.19,0,0,0.566667,0.275,0
0.512821,0.362319,0.383562,0.17,0,0,0.65,0.3125,0
0.423077,0.434783,0.287671,0.12,0,0,0.683333,0.3875,0
0.358974,0.362319,0.30137,0.27,0,0,0.766667,0.275,0
0.397436,0.362319,0.30137,0.27,0,0,0.783333,0.275,0
0.397436,0.333333,0.410959,0.28,0,0,0.733333,0.275,0
0.346154,0.376812,0.479452,0.3,0,0,0.416667,0.275,0
0.512821,0.710145,0.260274,0.19,0,0,0.683333,0.55,0
0,0.289855,0.383562,0.13,0,0,0.65,0.3125,0
0.102564,0.318841,0.315068,0.13,0,0,0.683333,0.3875,0
0.294872,0.362319,0.232877,0.17,0,0,0.633333,0.525,0
0.371795,0.26087,0.39726,0.23,0,0,0.783333,0.275,0
0.358974,0.550725,0.39726,0.09,0,0,0.616667,0.275,0
0.269231,0.101449,0.424658,0.44,0,0,0.466667,0.275,0
0.448718,0.202899,0.383562,0.19,0,0,0.283333,0.275,0
0.410256,0.405797,0.287671,0.55,0,0,0.65,0.725,0
0.397436,0.492754,0.342466,0.16,0,0,0.633333,0.3875,0
0.589744,0.608696,0.273973,0.22,0,0,0.65,0.3375,0
0.282051,0.391304,0.328767,0.2,0,0,0.633333,0.275,0
0.076923,0.275362,0.369863,0.16,0,0,0.5,0.275,0
0.564103,0.507246,0.342466,0.21,0,0,0.616667,0.275,0
0.474359,0.681159,0.205479,0.36,0,0,0.6,0.275,0
0.346154,0.449275,0.328767,0.13,0,0,0.566667,0.275,0
0.397436,0.275362,0.410959,0.17,0,0,0.766667,0.275,0
0.435897,0.449275,0.30137,0.27,0,0,0.633333,0.275,0
0.397436,0.376812,0.39726,0.31,0,0,0.716667,0.325,0
0.064103,0.057971,0.410959,0.28,0,0,0.633333,0.1375,0
0.512821,0.391304,0.30137,0.49,0,0,0.383333,0.4,0
0.576923,0.333333,0.39726,0.15,0,0,0.716667,0.275,0
0.371795,0.536232,0.273973,0.17,0,0,0.666667,0.925,0
